day,total_revenue,total_transactions,avg_transaction_value
2005-05-24,29.92,8,3.74
2005-05-25,573.63,137,4.19
2005-05-26,754.26,174,4.33
2005-05-27,684.34,166,4.12
2005-05-28,804.04,196,4.10
2005-05-29,648.46,154,4.21
2005-05-30,628.42,158,3.98
2005-05-31,700.37,163,4.30
2005-06-14,57.84,16,3.62
2005-06-15,1376.52,348,3.96
2005-06-16,1349.76,324,4.17
2005-06-17,1332.75,325,4.10
2005-06-18,1486.56,344,4.32
2005-06-19,1480.52,348,4.25
2005-06-20,1384.69,331,4.18
2005-06-21,1161.25,275,4.22
2005-07-05,128.73,27,4.77
2005-07-06,2131.96,504,4.23
2005-07-07,1943.39,461,4.22
2005-07-08,2210.88,512,4.32
2005-07-09,2075.87,513,4.05
2005-07-10,1939.20,480,4.04
2005-07-11,1938.39,461,4.20
2005-07-12,2105.05,495,4.25
2005-07-26,160.67,33,4.87
2005-07-27,2726.51,649,4.20
2005-07-28,2577.80,620,4.16
2005-07-29,2721.59,641,4.25
2005-07-30,2840.66,634,4.48
2005-07-31,2868.21,679,4.22
2005-08-01,2817.29,671,4.20
2005-08-02,2726.57,643,4.24
2005-08-16,111.77,23,4.86
2005-08-17,2457.07,593,4.14
2005-08-18,2710.79,621,4.37
2005-08-19,2615.72,628,4.17
2005-08-20,2723.76,624,4.37
2005-08-21,2809.41,659,4.26
2005-08-22,2576.74,626,4.12
2005-08-23,2521.02,598,4.22
2006-02-14,514.18,182,2.83
